Date,Open,High,Low,Close,Volume
2024/11/01 16:00:00,144.44,144.54,141.32,141.86,39027430
2024/11/04 16:00:00,141.7,143.64,139.72,140.71,29117421
2024/11/05 16:00:00,141.94,143.08,140.8,141.66,27067330
2024/11/06 16:00:00,144.95,145.63,141.52,145.1,32911499
2024/11/07 16:00:00,146.68,150.12,145.66,149.82,30326430
2024/11/08 16:00:00,149.39,150.71,147.53,147.95,27560342
2024/11/11 16:00:00,147.38,148.57,144.91,147.35,29868125
2024/11/12 16:00:00,147,147.45,141.55,143.63,33560287
2024/11/13 16:00:00,142.86,144.49,139.07,139.3,35146648
2024/11/14 16:00:00,140.34,141.4,138.56,138.84,31681410
2024/11/15 16:00:00,136.57,137.35,133.65,134.9,44217530
2024/11/18 16:00:00,138.19,140.9,137.21,138.93,38782434
2024/11/19 16:00:00,137.41,139.75,137.14,139.39,23131352
2024/11/20 16:00:00,138.96,140.77,135.48,137.6,28843065
2024/11/21 16:00:00,138.87,140.28,134.93,137.49,29311442
2024/11/22 16:00:00,137.35,139.13,137.04,138.35,21784728
2024/11/25 16:00:00,140.49,142.35,139.05,141.13,30923110
2024/11/26 16:00:00,142.55,142.8,136.62,137.72,32092378
2024/11/27 16:00:00,137.2,137.94,132.96,136.24,30175287
2024/11/29 13:05:00,136.24,138.59,135.78,137.18,16085714
2024/12/02 16:00:00,137.92,142.82,137.8,142.06,33102438
2024/12/03 16:00:00,142.58,143.45,141.08,141.98,22665348
2024/12/04 16:00:00,142.96,144.12,141.18,143.99,25942650
2024/12/05 16:00:00,143.68,143.95,140.38,141.36,29576925
2024/12/06 16:00:00,141.48,142.79,137.4,138.59,33576839
2024/12/09 16:00:00,135.71,135.77,130,130.87,57055558
2024/12/10 16:00:00,131.56,131.56,127.07,127.74,38907198
2024/12/11 16:00:00,128.52,131.21,126.22,130.15,45588138
2024/12/12 16:00:00,130,132.32,129.07,130.6,34267091
2024/12/13 16:00:00,131.3,131.3,124.77,126.91,67544738
2024/12/16 16:00:00,126.01,127.76,123.12,126.69,42090277
2024/12/17 16:00:00,124.45,127.08,123.15,125.02,43314939
2024/12/18 16:00:00,125.43,127.75,120.43,121.41,49724442
2024/12/19 16:00:00,122.16,123.38,118.45,118.88,46160667
