Date,Open,High,Low,Close,Volume
2025/06/05 16:00:00,69.5,103.75,64,83.23,47784339
2025/06/06 16:00:00,96.39,123.52,92.95,107.7,60706262
2025/06/09 16:00:00,132.72,138.57,108.4,115.25,45521142
2025/06/10 16:00:00,115,115,101.51,105.91,25517793
2025/06/11 16:00:00,107,120.49,106.5,117.2,26481377
2025/06/12 16:00:00,116.79,117.93,104.26,106.54,13416512
2025/06/13 16:00:00,108.81,134.72,108.8,133.56,34013580
2025/06/16 16:00:00,147.54,165.6,145.88,151.06,43781546
2025/06/17 16:00:00,156.36,164.42,143.53,149.15,31234204
2025/06/18 16:00:00,153.22,200.9,148,199.59,63566766
2025/06/20 16:00:00,231.5,248.88,206.17,240.28,92427231
2025/06/23 16:00:00,238.46,298.99,232.48,263.45,99128739
2025/06/24 16:00:00,250.42,265,217.58,222.65,68222564
2025/06/25 16:00:00,218.55,227.54,198,198.62,49283191
2025/06/26 16:00:00,209.04,226.95,205.68,213.63,45550341
2025/06/27 16:00:00,223.65,223.65,175.6,180.43,48112124
2025/06/30 16:00:00,181.77,192.5,178,181.29,34461533
2025/07/01 16:00:00,184.67,194,171.5,192.53,31252118
2025/07/02 16:00:00,187.21,189,176,177.97,18546015
2025/07/03 13:00:00,182.17,192.5,181.39,188.77,17191952
2025/07/07 16:00:00,193.75,208.6,186.6,207.46,31640759
2025/07/08 16:00:00,199.5,209.5,196,204.81,22225548
2025/07/09 16:00:00,209.36,215.6,197.25,200.68,17934427
2025/07/10 16:00:00,208.84,209.57,199,202.9,12340104
2025/07/11 16:00:00,204.18,206.8,182.5,187.33,18227353
2025/07/14 16:00:00,189.27,204.91,185.54,204.7,15445172
2025/07/15 16:00:00,198,203.46,188.1,195.33,14758547
2025/07/16 16:00:00,203.05,239.7,201.32,233.2,44001740
2025/07/17 16:00:00,225.59,244.36,220.01,235.08,29222485
2025/07/18 16:00:00,244.9,262.97,222.49,223.78,42877368
2025/07/21 16:00:00,226.4,231.88,213.33,216.1,19033133
2025/07/22 16:00:00,207.55,211.99,192.9,198.31,18485876
2025/07/23 16:00:00,198.38,202.5,195.08,202.41,10319795
2025/07/24 16:00:00,199.75,201.25,189.23,193.08,9085863
2025/07/25 16:00:00,192.54,195.7,187.5,192.86,6988469
2025/07/28 16:00:00,196.98,197.9,183.91,185.36,9524221
2025/07/29 16:00:00,187.88,190.75,180.68,181.64,9534789
2025/07/30 16:00:00,182.62,193.33,182.1,190.5,9317694
2025/07/31 16:00:00,188.76,189.87,183,183.52,5770643
2025/08/01 16:00:00,176.93,181.55,167.3,168.1,12924882
2025/08/04 16:00:00,172.1,172.1,154.5,164.82,11701260
2025/08/05 16:00:00,160,164.32,153.91,153.93,7802420
2025/08/06 16:00:00,150.09,162.44,149,161.71,8357923
2025/08/07 16:00:00,167.68,169.92,151.1,152.93,10166256
2025/08/08 16:00:00,155.01,163.22,154.12,159.03,8920993
2025/08/11 16:00:00,161.01,169.8,155.53,161.17,11880044
2025/08/12 16:00:00,186.3,189.92,161.51,163.21,33491022
2025/08/13 16:00:00,156.64,164.64,152.15,153.16,17877933
2025/08/14 16:00:00,152,156.8,136.4,139.23,17905916
2025/08/15 16:00:00,141.16,151.47,139.25,149.26,23286226
2025/08/18 16:00:00,148.7,149.45,141.35,141.58,8683092
2025/08/19 16:00:00,143.98,144.65,133.11,135.23,9688108
2025/08/20 16:00:00,136.94,139.5,129.1,137.81,9944132
2025/08/21 16:00:00,135,136.99,131.59,131.8,4986592
2025/08/22 16:00:00,132.99,144.7,131.05,135.04,13309102
2025/08/25 16:00:00,134.36,135.32,124.7,125.24,10419843
2025/08/26 16:00:00,125.6,130.25,124.16,129.05,6923318
2025/08/27 16:00:00,129.05,130.26,126.01,127.4,5567692
2025/08/28 16:00:00,129,132.78,127.66,130.94,5588733
2025/08/29 16:00:00,131.07,135.97,129,131.98,8140607
2025/09/02 16:00:00,128.08,131.69,119.6,120.14,10272446
2025/09/03 16:00:00,122.09,122.27,116.6,118.46,9473335
2025/09/04 16:00:00,117.64,120.32,115.08,117.49,6393633
2025/09/05 16:00:00,117.78,118.8,108.02,114.56,11544511
2025/09/08 16:00:00,114,117.78,110.05,112.46,8410356
2025/09/09 16:00:00,113.63,120.75,112.62,117.99,9098732
2025/09/10 16:00:00,119.97,124.98,113.17,113.69,9925542
2025/09/11 16:00:00,114.22,136.49,113.3,133.7,23638338
2025/09/12 16:00:00,134.85,134.9,124.5,125.32,15291468
2025/09/15 16:00:00,129.9,135.78,125.08,134.05,12573831
2025/09/16 16:00:00,139.6,142.55,133.92,134.81,12723033
2025/09/17 16:00:00,135,146.5,128.26,131.04,19405347
2025/09/18 16:00:00,134.74,143.58,134.07,140.42,15938994
2025/09/19 16:00:00,145.05,147.7,139.53,144.14,16115641
2025/09/22 16:00:00,139.88,140.71,134.56,137.64,9117355
2025/09/23 16:00:00,138.67,141.6,130.7,130.97,8952068
2025/09/24 16:00:00,133.73,136.34,130.04,131.58,9155776
2025/09/25 16:00:00,128.99,130.26,124.3,124.66,7729925
