Date,Open,High,Low,Close,Volume
2024/10/28 16:00:00,20,24.27,20,23.75,13233147
2024/10/29 16:00:00,22.9,24.5,22.5,23.65,7398169
2024/10/30 16:00:00,23,23.19,20.75,22.06,22991974
2024/10/31 16:00:00,22.6,22.6,20,21.38,4580792
2024/11/01 16:00:00,21.7,21.7,19.57,20.14,3981548
2024/11/04 16:00:00,19.62,21.72,19.21,20.75,4185001
2024/11/05 16:00:00,20.74,21.2,18.51,19,12434700
2024/11/06 16:00:00,19.93,19.93,17.5,19.3,4144060
2024/11/07 16:00:00,19.08,20.9,19.08,20.68,2570100
2024/11/08 16:00:00,20.98,21,19.5,19.92,2356030
2024/11/11 16:00:00,19.8,21.3,19.18,20.94,2907500
2024/11/12 16:00:00,20.5,20.93,19.5,19.6,2125500
2024/11/13 16:00:00,19.43,20,18.42,18.57,2088900
2024/11/14 16:00:00,19,19,17.51,18.09,2164529
2024/11/15 16:00:00,18,18.41,17.39,17.6,2010824
2024/11/18 16:00:00,17.73,18.74,17.66,18.52,1782325
2024/11/19 16:00:00,19.1,20.82,18.65,20.65,4774009
2024/11/20 16:00:00,20.53,20.75,19.46,20.58,3861700
2024/11/21 16:00:00,20.65,22,19.64,22,3639800
2024/11/22 16:00:00,21.56,23.82,21.56,23.49,4336900
2024/11/25 16:00:00,24,26,23.25,23.49,6115800
2024/11/26 16:00:00,23.16,23.6,22,22.12,2444576
2024/11/27 16:00:00,22.01,22.8,21,21.43,2595100
2024/11/29 16:00:00,22,22.92,21.25,21.99,2856209
2024/12/02 16:00:00,26.12,27.9,24.76,25.75,17142200
2024/12/03 16:00:00,25.8,30,25.43,29.33,22322100
2024/12/04 16:00:00,30.5,33.15,30.08,32.31,24007700
2024/12/05 16:00:00,33.94,34.6,30.54,31.16,10374700
2024/12/06 16:00:00,31.98,36.84,31.75,36.77,14708327
2024/12/09 16:00:00,38.57,38.69,31.53,31.96,16659004
2024/12/10 16:00:00,32.71,35.25,31.53,33.7,9979131
2024/12/11 16:00:00,34.4,34.95,31.95,32.78,6029906
2024/12/12 16:00:00,32.36,33,31.12,31.33,5684700
2024/12/13 16:00:00,31.63,31.7,29.95,30.75,7228800
2024/12/16 16:00:00,30.78,34.43,30.49,33.4,7562032
2024/12/17 16:00:00,33,33,29.14,29.34,7593500
2024/12/18 16:00:00,28.94,30,26.99,27.09,8765100
2024/12/19 16:00:00,27.74,28.16,25.98,27.05,6797748
2024/12/20 16:00:00,26.49,28.76,26,26.71,5560013
2024/12/23 16:00:00,27.04,28.74,25.77,28.64,5599000
2024/12/24 16:00:00,28.77,28.96,27.37,28.25,2971700
2024/12/26 16:00:00,28.3,29.39,27.32,28.06,3024500
2024/12/27 16:00:00,27.94,28,25.53,27.31,5407527
2024/12/30 16:00:00,26.95,27.2,25.9,26.92,3108440
2024/12/31 16:00:00,27.39,28.68,26.79,27.7,3810400
2025/01/02 16:00:00,28.13,30.58,28.13,30.51,6758900
2025/01/03 16:00:00,30.52,31.54,29.1,31.18,4399814
2025/01/06 16:00:00,31.96,33.18,30.7,31.22,5761500
2025/01/07 16:00:00,32.37,34.1,30.58,31.54,8432300
2025/01/08 16:00:00,31.35,31.74,29.58,30.74,4187126
2025/01/10 16:00:00,29.9,33.98,29.01,33.18,7197800
2025/01/13 16:00:00,32.26,36,31.1,35.72,11185500
2025/01/14 16:00:00,35.27,37.33,34.73,36.89,10025500
2025/01/15 16:00:00,37.53,39.38,35.58,37.02,10053300
