Date,Open,High,Low,Close,Volume
2024/11/01 16:00:00,16.23,16.49,15.7,16.33,1899025
2024/11/04 16:00:00,16.35,17.02,16.1,16.78,1264619
2024/11/05 16:00:00,16.47,17.36,16.35,17.34,1064642
2024/11/06 16:00:00,18.09,18.21,16.07,16.6,3787325
2024/11/07 16:00:00,16.71,16.97,16.14,16.17,1847147
2024/11/08 16:00:00,16.05,16.14,15.46,15.64,1714923
2024/11/11 16:00:00,15.7,16.58,15.65,15.9,3465515
2024/11/12 16:00:00,15.67,16.34,15.46,15.68,1792970
2024/11/13 16:00:00,15.6,15.89,14.84,14.91,2098906
2024/11/14 16:00:00,14.93,15.02,14.1,14.12,2254971
2024/11/15 16:00:00,14.05,14.07,13.3,13.34,2891358
2024/11/18 16:00:00,13.34,13.46,12.96,13.18,2017662
2024/11/19 16:00:00,13.08,13.58,12.95,13.57,1758816
2024/11/20 16:00:00,13.61,13.8,13.16,13.32,1406183
2024/11/21 16:00:00,13.3,13.51,13.02,13.29,1626218
2024/11/22 16:00:00,13.17,14.57,12.98,14.31,5631208
2024/11/25 16:00:00,14.7,15.67,14.61,15.3,2394500
2024/11/26 16:00:00,15.05,15.09,14.61,15.01,3032400
2024/11/27 16:00:00,15.28,15.72,15.22,15.48,1510327
2024/11/29 16:00:00,15.53,15.9,15.49,15.9,960900
2024/12/02 16:00:00,15.76,16.53,15.69,16.47,1718700
2024/12/03 16:00:00,16.38,16.46,15.58,15.82,1253200
2024/12/04 16:00:00,15.82,16.35,15.54,15.99,1066800
2024/12/05 16:00:00,15.99,16.1,15.1,15.23,1856461
2024/12/06 16:00:00,15.57,16.18,15.39,15.87,1301393
2024/12/09 16:00:00,16.06,16.5,15.89,16.15,1468707
2024/12/10 16:00:00,16.14,16.73,15.74,16.15,1266231
2024/12/11 16:00:00,16.4,16.47,15.86,16.08,739345
2024/12/12 16:00:00,15.7,15.84,14.39,14.95,2678008
2024/12/13 16:00:00,14.9,15.03,14.06,14.21,2987558
2024/12/16 16:00:00,14.21,15.06,13.82,14.99,3431800
2024/12/17 16:00:00,14.96,15.31,14.47,14.72,1278560
2024/12/18 16:00:00,14.73,14.89,13.17,13.42,1930940
2024/12/19 16:00:00,13.71,13.73,13.2,13.61,1735200
2024/12/20 16:00:00,13.52,14.44,13.41,14.04,2024726
2024/12/23 16:00:00,14.03,14.87,13.92,14.73,2052710
2024/12/24 16:00:00,14.97,14.99,14.59,14.67,902314
2024/12/26 16:00:00,14.42,14.98,14.2,14.67,1225400
2024/12/27 16:00:00,14.53,14.74,14.25,14.59,1252070
2024/12/30 16:00:00,14.31,14.62,13.92,14.35,1148276
2024/12/31 16:00:00,14.43,14.54,14.17,14.36,906763
2025/01/02 16:00:00,14.5,14.84,14.12,14.19,1140150
2025/01/03 16:00:00,14.28,15.93,14.03,15.6,2285183
2025/01/06 16:00:00,15.9,16.38,15.65,15.92,2126684
2025/01/07 16:00:00,16.04,16.94,15.49,15.53,1739600
2025/01/08 16:00:00,15.16,16.03,14.72,15.83,1345117
2025/01/10 16:00:00,15.28,15.65,14.88,15.58,1491000
2025/01/13 16:00:00,16.4,17.25,15.37,15.71,2992700
2025/01/14 16:00:00,15.97,16.47,15.06,15.44,1893100
2025/01/15 16:00:00,16.11,16.63,14.96,14.98,2779077
2025/01/16 16:00:00,14.97,15.19,14.06,15.09,2728700
2025/01/17 16:00:00,15.46,15.5,14.9,15.08,1324946
