Date,Open,High,Low,Close,Volume
2024/11/01 16:00:00,6.67,6.92,6.1,6.2,21453700
2024/11/04 16:00:00,6.08,6.17,5.89,5.98,17127022
2024/11/05 16:00:00,6.11,6.49,6.03,6.21,20077494
2024/11/06 16:00:00,7.06,7.68,6.8,7.67,48372051
2024/11/07 16:00:00,7.6,8.33,7.36,8.21,31774516
2024/11/08 16:00:00,8.18,8.4,7.82,8.25,26344683
2024/11/11 16:00:00,8.73,9.12,8.32,8.82,38343404
2024/11/12 16:00:00,8.44,8.68,8.12,8.53,32684254
2024/11/13 16:00:00,8.75,9.3,7.32,7.35,42084645
2024/11/14 16:00:00,7.48,7.54,6.89,6.95,23966384
2024/11/15 16:00:00,7.1,7.25,6.74,7.18,24264257
2024/11/18 16:00:00,7.11,7.61,6.82,7.04,20135754
2024/11/19 16:00:00,7,7.55,6.83,7.38,19273434
2024/11/20 16:00:00,7.63,7.86,7.02,7.2,24229833
2024/11/21 16:00:00,7.45,7.56,6.54,6.99,28215909
2024/11/22 16:00:00,6.86,7.54,6.6,7.45,25855281
2024/11/25 16:00:00,7.63,7.64,6.86,6.99,29742201
2024/11/26 16:00:00,6.93,7.1,6.44,6.57,26507404
2024/11/27 16:00:00,6.82,7.37,6.71,7.29,22596506
2024/11/29 13:05:00,7.35,8.05,7.33,7.89,18343880
2024/12/02 16:00:00,7.89,8.19,7.3,7.32,21557246
2024/12/03 16:00:00,7.11,7.39,7.01,7.27,13218866
2024/12/04 16:00:00,7.36,8.15,7.13,8.12,23470192
2024/12/05 16:00:00,8.22,8.44,7.68,7.71,27329533
2024/12/06 16:00:00,7.92,8.98,7.9,8.12,32675981
2024/12/09 16:00:00,8.05,8.06,7.19,7.29,26129041
2024/12/10 16:00:00,7.29,7.36,6.72,6.72,20643670
2024/12/11 16:00:00,6.97,7.28,6.73,7.21,22615437
2024/12/12 16:00:00,7.43,7.99,7.16,7.53,27734703
2024/12/13 16:00:00,7.42,7.67,6.97,7.04,18379230
2024/12/16 16:00:00,7.17,8.38,7.17,8.24,35624023
2024/12/17 16:00:00,8.35,8.51,7.76,8.2,20016006
2024/12/18 16:00:00,8.09,8.14,6.84,6.98,26543344
2024/12/19 16:00:00,7.3,7.36,6.41,6.49,23184151
2024/12/20 16:00:00,6.37,6.72,6.3,6.61,25913002
2024/12/23 16:00:00,6.52,6.58,5.54,5.81,41985917
2024/12/24 13:05:00,6,6.36,5.95,6.23,17488813
2024/12/26 16:00:00,6.07,6.2,5.85,6.08,18273103
2024/12/27 16:00:00,6.09,6.11,5.43,5.53,30237020
2024/12/30 16:00:00,5.41,5.5,5.09,5.32,21651893
2024/12/31 16:00:00,5.51,5.82,5.3,5.66,33524567
2025/01/02 16:00:00,5.83,6.01,5.31,5.46,39964116
2025/01/03 16:00:00,5.57,6.29,5.5,6.22,33235266
2025/01/06 16:00:00,6.49,6.58,6.25,6.5,36981296
2025/01/07 16:00:00,6.51,6.65,5.77,6.13,31171893
2025/01/08 16:00:00,5.91,6.05,5.47,5.51,35173411
2025/01/10 16:00:00,5.34,5.47,5.14,5.4,25720624
2025/01/13 16:00:00,5.15,5.28,4.97,5.2,30080528
2025/01/14 16:00:00,5.6,5.84,5.43,5.57,34855833
2025/01/15 16:00:00,5.93,6.33,5.92,6.18,43511310
2025/01/16 16:00:00,6.11,6.2,5.82,5.85,33625363
2025/01/17 16:00:00,6.22,6.66,6.05,6.4,58295784
2025/01/21 16:00:00,6.45,6.54,5.89,5.96,42245573
2025/01/22 16:00:00,5.96,6.35,5.61,6.23,43279146
2025/01/23 16:00:00,6.04,6.75,6.04,6.18,42018339
2025/01/24 16:00:00,6.5,6.98,6.27,6.32,56754383
2025/01/27 16:00:00,5.49,5.52,4.13,4.43,98407961
2025/01/28 16:00:00,4.74,4.79,4.19,4.64,72168531
2025/01/29 16:00:00,4.6,4.84,4.45,4.73,73270296
2025/01/30 16:00:00,4.83,5.18,4.78,5.01,57371038
2025/01/31 16:00:00,5.1,5.25,4.72,4.77,70121241
2025/02/03 16:00:00,4.29,5.07,4.28,5.01,53822525
2025/02/04 16:00:00,5,5.2,4.88,5.18,32643212
2025/02/05 16:00:00,5.2,5.29,5,5.07,32288350
2025/02/06 16:00:00,5.15,5.37,5.01,5.15,42223846
2025/02/07 16:00:00,5.36,5.6,4.98,5.03,38174104
2025/02/10 16:00:00,5.08,5.31,4.98,5.13,30574823
2025/02/11 16:00:00,5.07,5.17,4.75,4.76,31307805
2025/02/12 16:00:00,4.7,5.12,4.64,4.85,37356663
2025/02/13 16:00:00,4.86,4.89,4.59,4.89,34876744
2025/02/14 16:00:00,4.9,5.01,4.73,4.87,28232273
2025/02/18 16:00:00,4.84,4.9,4.65,4.71,21415156
2025/02/19 16:00:00,4.76,4.97,4.68,4.72,23926952
2025/02/20 16:00:00,4.77,4.79,4.47,4.5,32218063
2025/02/21 16:00:00,4.6,4.69,4.08,4.08,47537179
2025/02/24 16:00:00,4.1,4.19,3.79,3.95,59324672
2025/02/25 16:00:00,3.82,3.88,3.54,3.68,51767220
2025/02/26 16:00:00,3.7,3.93,3.58,3.72,67335319
2025/02/27 16:00:00,3.96,4.02,3.6,3.61,85099835
2025/02/28 16:00:00,3.52,4.25,3.52,4.19,127522825
2025/03/03 16:00:00,4.31,4.57,3.63,3.67,54916850
2025/03/04 16:00:00,3.48,3.67,3.16,3.48,35550118
2025/03/05 16:00:00,3.52,3.72,3.38,3.71,19160547
2025/03/06 16:00:00,3.53,3.59,3.28,3.36,31526516
2025/03/07 16:00:00,3.35,3.66,3.26,3.6,24491128
2025/03/10 16:00:00,3.4,3.42,2.9,3.07,35017992
2025/03/11 16:00:00,3.01,3.24,2.91,3.17,31501318
2025/03/12 16:00:00,3.28,3.3,2.93,3.23,43020876
2025/03/13 16:00:00,3.24,3.24,2.95,2.99,35281052
2025/03/14 16:00:00,3.1,3.31,2.98,3.26,46188963
2025/03/17 16:00:00,3.23,3.36,3,3.26,32752105
2025/03/18 16:00:00,3.2,3.21,2.94,2.96,31847979
2025/03/19 16:00:00,3.01,3.38,3,3.3,39843643
2025/03/20 16:00:00,3.23,3.33,3.15,3.21,33287144
2025/03/21 16:00:00,3.09,3.21,3.04,3.2,30430062
2025/03/24 16:00:00,3.35,3.52,3.32,3.47,40791781
2025/03/25 16:00:00,3.46,3.47,3.23,3.28,26419756
2025/03/26 16:00:00,3.19,3.25,2.89,2.91,34011072
2025/03/27 16:00:00,2.84,3.03,2.8,2.93,25219761
2025/03/28 16:00:00,2.89,2.89,2.71,2.72,31552324
2025/03/31 16:00:00,2.59,2.77,2.52,2.73,36253086
2025/04/01 16:00:00,2.71,2.91,2.64,2.88,32640290
2025/04/02 16:00:00,2.75,2.99,2.75,2.98,32801903
2025/04/03 16:00:00,2.66,2.76,2.62,2.65,20982928
2025/04/04 16:00:00,2.57,2.65,2.26,2.6,39418959
2025/04/07 16:00:00,2.29,2.93,2.26,2.67,57216553
2025/04/08 16:00:00,2.83,2.83,2.21,2.26,37118681
2025/04/09 16:00:00,2.28,2.64,2.06,2.58,55388926
2025/04/10 16:00:00,2.45,2.45,2.18,2.24,28725489
2025/04/11 16:00:00,2.25,2.42,2.19,2.38,24701738
2025/04/14 16:00:00,2.48,2.54,2.32,2.47,27425795
2025/04/15 16:00:00,2.49,2.51,2.21,2.29,28941625
2025/04/16 16:00:00,2.22,2.36,2.19,2.3,17504468
2025/04/17 16:00:00,2.3,2.37,2.23,2.35,14231240
2025/04/21 16:00:00,2.36,2.48,2.24,2.25,30856695
2025/04/22 16:00:00,2.32,2.72,2.31,2.65,59636987
2025/04/23 16:00:00,2.82,2.92,2.65,2.79,49387261
2025/04/24 16:00:00,2.77,3.07,2.73,3.04,42168454
2025/04/25 16:00:00,3.1,3.13,2.97,3,38651371
2025/04/28 16:00:00,3.03,3.19,2.86,3.02,48727061
2025/04/29 16:00:00,3,3.07,2.89,2.92,30198687
2025/04/30 16:00:00,2.81,2.84,2.67,2.78,25390835
2025/05/01 16:00:00,2.93,3.29,2.91,3.24,48986130
2025/05/02 16:00:00,3.29,3.35,3.18,3.21,33153205
2025/05/05 16:00:00,3.08,3.09,2.89,2.99,27188083
2025/05/06 16:00:00,2.89,3.14,2.89,3.12,29234098
2025/05/07 16:00:00,3.1,3.13,2.98,3.05,27044440
2025/05/08 16:00:00,3.2,3.41,3.12,3.3,38144179
2025/05/09 16:00:00,3.01,3.4,2.89,3.01,40710959
2025/05/12 16:00:00,3.15,3.64,3.09,3.48,43459154
2025/05/13 16:00:00,3.71,3.84,3.62,3.83,36592815
2025/05/14 16:00:00,3.8,3.82,3.55,3.66,32605392
2025/05/15 16:00:00,3.58,3.61,3.31,3.52,30305218
2025/05/16 16:00:00,3.53,3.93,3.53,3.89,41555292
2025/05/19 16:00:00,3.69,4.03,3.6,4,49708226
2025/05/20 16:00:00,3.95,4.03,3.78,3.92,45921201
2025/05/21 16:00:00,3.85,4.2,3.73,3.91,72459308
2025/05/22 16:00:00,3.85,4.2,3.73,3.91,780556
2025/05/23 16:00:00,3.89,4.06,3.82,3.93,42889989
2025/05/27 16:00:00,4.05,4.09,3.82,3.94,40080367
2025/05/28 16:00:00,3.96,3.96,3.7,3.79,34330484
2025/05/29 16:00:00,3.84,3.85,3.61,3.64,32201102
2025/05/30 16:00:00,3.54,3.65,3.45,3.53,34920273
2025/06/02 16:00:00,3.48,3.66,3.48,3.61,32900683
2025/06/03 16:00:00,3.66,3.8,3.57,3.78,43445710
2025/06/04 16:00:00,3.74,4.34,3.67,4.24,58361794
2025/06/05 16:00:00,4.31,4.32,3.79,3.83,80390646
2025/06/06 16:00:00,3.96,4.52,3.9,4.35,47228344
2025/06/09 16:00:00,4.53,4.65,4.33,4.53,53119549
2025/06/10 16:00:00,4.58,4.63,4.4,4.52,35109958
2025/06/11 16:00:00,4.54,4.57,4.3,4.41,45890120
2025/06/12 16:00:00,4.36,4.47,4.24,4.26,29969518
2025/06/13 16:00:00,4.13,4.27,3.97,4.02,41394173
2025/06/16 16:00:00,4.14,4.4,4.06,4.33,36858306
2025/06/17 16:00:00,4.19,4.23,3.88,3.95,41651821
2025/06/18 16:00:00,3.93,4.05,3.82,3.84,37880153
2025/06/20 16:00:00,3.97,4.01,3.7,3.74,47698461
2025/06/23 16:00:00,3.61,3.67,3.4,3.57,41500687
2025/06/24 16:00:00,3.66,3.94,3.63,3.84,43686199
2025/06/25 16:00:00,3.93,4.14,3.79,3.8,48368376
2025/06/26 16:00:00,3.77,4.53,3.7,4.39,87547213
2025/06/27 16:00:00,4.39,4.41,4.13,4.22,55550402
2025/06/30 16:00:00,4.29,4.6,4.23,4.38,52733383
2025/07/01 16:00:00,4.27,4.68,4.24,4.44,72066374
2025/07/02 16:00:00,4.53,5.07,4.53,5.04,90051294
2025/07/03 13:05:00,5.1,5.47,5.01,5.26,53225733
2025/07/07 16:00:00,4.99,5.03,4.52,4.8,62650951
2025/07/08 16:00:00,4.95,5.18,4.79,4.82,30670932
2025/07/09 16:00:00,4.97,5,4.73,4.93,44003045
2025/07/10 16:00:00,4.93,5.16,4.87,5.13,64018370
2025/07/11 16:00:00,5.23,5.34,4.82,4.89,69314449
2025/07/14 16:00:00,4.93,5.23,4.91,5.11,88409357
2025/07/15 16:00:00,5.04,5.05,4.82,4.87,41575857
2025/07/16 16:00:00,4.99,5.37,4.98,5.25,48748770
2025/07/17 16:00:00,5.23,5.44,5.14,5.36,43088589
2025/07/18 16:00:00,5.43,5.63,5,5.13,46881152
2025/07/21 16:00:00,5.18,5.48,4.97,4.99,32811782
2025/07/22 16:00:00,5.09,5.27,4.84,5.26,69573490
2025/07/23 16:00:00,5.24,5.26,4.97,5.2,59704160
2025/07/24 16:00:00,5.21,5.45,5.17,5.32,48041008
2025/07/25 16:00:00,5.27,5.27,5,5.17,30149188
2025/07/28 16:00:00,5.29,5.38,5.03,5.1,25493347
2025/07/29 16:00:00,5.17,5.44,5.08,5.22,35281253
2025/07/30 16:00:00,5.26,5.47,4.89,5.01,30732399
2025/07/31 16:00:00,5.07,5.38,5.03,5.16,40444478
2025/08/01 16:00:00,4.96,4.96,4.64,4.76,31024409
2025/08/04 16:00:00,4.83,4.92,4.72,4.89,20787451
2025/08/05 16:00:00,4.93,5.06,4.78,5.06,32413039
2025/08/06 16:00:00,5.05,5.2,5.02,5.15,31283102
2025/08/07 16:00:00,5.17,5.28,4.77,4.94,35252910
2025/08/08 16:00:00,5.18,5.21,4.67,5.03,42214851
2025/08/11 16:00:00,5.03,5.77,5.02,5.4,52992623
2025/08/12 16:00:00,5.45,5.51,5.18,5.24,24933233
2025/08/13 16:00:00,5.48,5.69,5.26,5.46,38876096
2025/08/14 16:00:00,7.2,8.76,6.74,8.71,289277452
2025/08/15 16:00:00,8.53,9.23,8.14,8.97,108160043
2025/08/18 16:00:00,10.01,10.71,9.3,9.38,161975800
2025/08/19 16:00:00,9.15,9.36,8.68,8.78,105256730
2025/08/20 16:00:00,8.83,9.3,8.6,9.28,66973665
2025/08/21 16:00:00,9.3,9.44,8.85,9.19,54342039
2025/08/22 16:00:00,9.27,10.25,9.11,9.16,72453171
2025/08/25 16:00:00,8.99,9.1,8.71,8.93,39878723
2025/08/26 16:00:00,8.84,9.37,8.8,9.24,36027100
2025/08/27 16:00:00,9.26,9.4,9.03,9.13,29942098
2025/08/28 16:00:00,9.28,9.64,9.14,9.44,41332648
2025/08/29 16:00:00,9.46,9.78,9.1,9.45,35705428
2025/09/02 16:00:00,9.2,9.82,8.97,9.63,42554805
2025/09/03 16:00:00,9.68,9.75,8.92,8.98,35246668
2025/09/04 16:00:00,9,9,8.6,8.87,28234213
2025/09/05 16:00:00,9.08,9.19,8.7,9.13,26967521
2025/09/08 16:00:00,9.12,9.52,8.94,9.2,31990963
2025/09/09 16:00:00,9.58,10.32,9.13,10.3,69371879
2025/09/10 16:00:00,10.54,11.04,10.24,10.55,62191929
2025/09/11 16:00:00,10.45,11.23,10.18,10.64,45284475
2025/09/12 16:00:00,10.68,11.08,10.48,10.76,28100140
2025/09/15 16:00:00,10.84,10.94,10.04,10.49,36073124
2025/09/16 16:00:00,10.54,11,10.25,10.94,37077343
2025/09/17 16:00:00,10.79,11.53,10.57,11.35,39866502
2025/09/18 16:00:00,11.61,11.63,10.96,11.17,33612275
2025/09/19 16:00:00,11.22,11.44,10.9,10.98,54584426
2025/09/22 16:00:00,10.98,11.77,10.72,11.49,45648540
2025/09/23 16:00:00,11.55,11.79,11.01,11.24,31845116
2025/09/24 16:00:00,11.37,11.72,11.04,11.4,37364681
2025/09/25 16:00:00,11.11,11.78,10.43,10.97,50279767
2025/09/26 16:00:00,11.04,11.13,10.55,10.83,23318203
2025/09/29 16:00:00,11.06,11.79,10.94,11.6,30376693
2025/09/30 16:00:00,11.69,12.06,11.39,11.42,28701440
2025/10/01 16:00:00,11.53,11.93,11.25,11.47,22983631
2025/10/02 16:00:00,11.85,12.27,11.56,11.58,38274482
2025/10/03 16:00:00,11.81,12.5,11.63,11.92,37026767
2025/10/06 16:00:00,12.39,12.65,11.92,11.97,30065140
2025/10/07 16:00:00,12.16,12.37,11.25,12.1,30522420
2025/10/08 16:00:00,12.09,12.7,11.89,12.3,27693290
2025/10/09 16:00:00,12.92,13.74,12.64,13.59,44520459
2025/10/10 16:00:00,14.46,15.51,13.18,13.51,70877445
2025/10/13 16:00:00,14.35,14.35,13.33,14,36954749
2025/10/14 16:00:00,13.85,16.19,13.31,15.46,77015249
2025/10/15 16:00:00,15.98,16.18,14.97,15.47,45596822
2025/10/16 16:00:00,15.53,15.65,13.81,13.86,39052969
2025/10/17 16:00:00,13.26,13.98,12.73,13.93,32136380
2025/10/20 16:00:00,14.45,14.74,13.74,13.85,23362931
2025/10/21 16:00:00,13.85,13.89,12.88,13.14,24538033
2025/10/22 16:00:00,12.97,13.53,11.78,12.62,41497226
2025/10/23 16:00:00,12.77,13.32,12.4,12.88,20010619
2025/10/24 16:00:00,13.94,14.17,13.5,13.71,27325197
2025/10/27 16:00:00,14.19,14.22,13.47,13.64,17835909
2025/10/28 16:00:00,14.64,17.05,14.63,15.94,114842751
2025/10/29 16:00:00,15.19,16.23,14.37,14.5,81297684
2025/10/30 16:00:00,14.35,15.55,14.01,14.82,69667692
2025/10/31 16:00:00,15.02,15.7,14.8,15.5,48808077
2025/11/03 16:00:00,16.19,16.38,14.69,16.1,61777099
2025/11/04 16:00:00,15.16,16.37,14.82,15.01,43491658
2025/11/05 16:00:00,15.08,15.67,14.85,15.36,39879107
2025/11/06 16:00:00,15.13,15.28,14.16,14.28,34181758
2025/11/07 16:00:00,13.78,14.07,13.2,13.94,42694562
2025/11/10 16:00:00,14.5,15.2,13.92,14.3,43168116
2025/11/11 16:00:00,13.87,13.89,11.88,12.37,52651296
2025/11/12 16:00:00,12.55,13.35,12.26,12.64,50640212
2025/11/13 16:00:00,12.17,12.45,11.42,11.68,43557325
2025/11/14 16:00:00,11.23,12.08,10.96,10.99,55215325
2025/11/17 16:00:00,10.66,11.67,10.6,11.05,41533816
2025/11/18 16:00:00,10.94,12.5,10.86,12,53481122
2025/11/19 16:00:00,11.87,12.95,11.85,12.23,43240122
2025/11/20 16:00:00,13.44,14.75,11.51,11.56,74052573
2025/11/21 16:00:00,11.44,11.78,10.47,11.29,50142805
2025/11/24 16:00:00,11.61,12.7,11.51,12.63,37689308
2025/11/25 16:00:00,12.39,14.35,11.85,13.94,45618219
2025/11/26 16:00:00,14.47,14.97,13.81,14.84,47733769
2025/11/28 13:05:00,15.13,16.13,15.12,15.51,31145332
2025/12/01 16:00:00,14.86,15.76,14.8,15.3,30037313
2025/12/02 16:00:00,15.57,15.65,14.2,14.22,32297263
2025/12/03 16:00:00,14.17,14.5,13.43,14.43,30779831
2025/12/04 16:00:00,14.15,15.22,13.88,15.1,29405139
2025/12/05 16:00:00,14.95,14.96,14.18,14.5,21091071
2025/12/08 16:00:00,14.78,15.29,14.16,14.96,24443183
2025/12/09 16:00:00,14.71,15.99,14.65,15.59,33799968
2025/12/10 16:00:00,15.41,16.33,15.18,15.76,30611352
2025/12/11 16:00:00,15.53,15.92,14.94,15.83,23033516
2025/12/12 16:00:00,16.12,16.75,14.27,14.33,44299555
2025/12/15 16:00:00,14.06,14.08,12.35,12.49,36699495
2025/12/16 16:00:00,12.37,13.1,11.93,12.99,31467848
2025/12/17 16:00:00,13.42,13.64,11.45,11.57,44383412
2025/12/18 16:00:00,12.22,12.34,11.32,11.79,31821683
2025/12/19 16:00:00,12.06,12.91,12.03,12.52,42990598
2025/12/22 16:00:00,12.69,13,12.4,12.47,18876444
